0,0,0,6,1,2,0,0,0,8,0,0,0,0,14,15,3,1,0,10,0,0,0,8,10,4,0,0,0,12
0,0,0,0,0,0,10,0,0,10,11,15,0,0,0,0,0,0,0,8,0,0,14,0,0,0,4,0,0,4
0,0,0,0,11,12,0,0,5,14,0,0,0,2,0,0,0,4,0,7,4,7,0,0,0,7,0,0,0,0
6,0,0,0,9,0,0,0,0,0,11,0,7,15,6,0,4,0,0,0,0,6,9,14,1,0,0,0,13,12
1,0,11,9,0,2,0,11,2,0,0,5,0,12,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2,0,12,0,2,0,0,0,9,7,0,0,10,12,0,11,0,0,8,0,0,0,0,0,10,0,5,0,0,0
0,10,0,0,0,0,0,15,7,0,5,15,0,1,0,1,0,0,14,0,0,0,0,2,9,0,0,14,0,0
0,0,0,0,11,0,15,0,0,0,0,0,6,0,10,11,0,0,12,1,0,0,0,0,0,0,0,0,0,0
0,0,5,0,2,9,7,0,0,6,11,15,8,15,12,6,0,0,14,5,4,4,0,0,0,6,0,0,15,8
8,10,14,0,0,7,0,0,6,0,9,0,2,3,13,0,10,14,0,10,0,0,0,0,0,0,4,7,0,10
0,11,0,11,0,0,5,0,11,9,0,4,12,2,5,0,0,0,9,0,10,0,8,6,4,0,0,8,0,8
0,15,0,0,5,0,15,0,15,0,4,0,0,0,8,15,4,1,0,8,2,0,0,4,1,0,0,9,0,13
0,0,0,7,0,10,0,6,8,2,12,0,0,0,0,0,0,12,0,14,0,0,7,8,0,0,9,9,0,0
0,0,2,15,12,12,1,0,15,3,2,0,0,0,0,0,0,0,0,0,0,10,0,13,11,0,4,0,0,0
14,0,0,6,0,0,0,10,12,13,5,8,0,0,0,0,10,8,0,2,9,0,12,0,0,0,0,7,15,0
15,0,0,0,11,11,1,11,6,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,13,14,7,4,0,0
3,0,0,4,0,0,0,0,0,10,0,4,0,0,10,0,0,0,0,5,5,0,7,0,0,0,2,0,13,4
1,0,4,0,0,0,0,0,0,14,0,1,12,0,8,0,0,0,0,5,2,0,0,1,0,6,7,0,3,0
0,0,0,0,0,8,14,12,14,0,9,0,0,0,0,0,0,0,0,0,12,0,0,0,10,9,0,0,0,0
10,8,7,0,12,0,0,1,5,10,0,8,14,0,2,0,5,5,0,0,12,0,0,7,0,11,0,0,11,15
0,0,4,0,0,0,0,0,4,0,10,2,0,0,9,0,5,2,12,12,0,9,0,10,0,0,15,7,5,0
0,0,7,6,0,0,0,0,4,0,0,0,0,10,0,3,0,0,0,0,9,0,0,12,9,0,0,5,12,9
0,14,0,9,0,0,0,0,0,0,8,0,7,0,12,0,7,0,0,0,0,0,0,10,0,15,0,0,7,4
8,0,0,14,0,0,2,0,0,0,6,4,8,13,0,0,0,1,0,7,10,12,10,0,0,0,0,0,0,4,
10,0,0,1,0,10,9,0,0,0,4,1,0,11,0,13,0,0,10,0,0,9,0,0,0,0,5,0,12,0,
4,0,7,0,0,0,0,0,6,0,0,0,0,0,0,14,0,6,9,11,0,0,15,0,0,0,0,7,6,0
0,4,0,0,0,5,0,0,0,4,0,0,9,4,0,7,2,7,0,0,15,0,0,0,5,0,0,0,0,7
0,0,0,0,0,0,14,0,0,7,8,9,9,0,7,4,0,0,0,0,7,5,0,0,0,7,0,0,0,14
0,0,0,13,0,0,0,0,15,0,0,0,0,0,15,0,13,3,0,11,5,12,7,0,12,6,0,0,0,0
12,4,0,12,0,0,0,0,8,10,8,13,0,0,0,0,4,0,0,15,0,9,4,4,0,0,7,14,0,0

